id;date;value;qty;state;city;store;brand;model
1;10-05-2022;236957.98;2216;;Kombësi;Lang-Von;Audi;A6
2;20-08-2022;201084.46;5428;;Xiaoling;Lemke Group;Volvo;C70
3;22-08-2022;477924.03;47;;Pateros;"Wisoky; Pouros and Kunde";Pontiac;GTO
4;30-01-2022;364080.88;5219;;Limatambo;Rice-Corwin;Honda;Fit
5;20-12-2022;183626.22;8153;15;Vila Ribeiro;Herman-Paucek;Mitsubishi;3000GT
6;12-01-2022;196541.58;8153;;Longzhou;Thiel-Stokes;GMC;Sonoma Club Coupe
7;03-06-2022;67518.91;1612;;Garbolovo;Balistreri and Sons;Ford;E-Series
8;22-11-2022;13847.90;7328;;Gagarawa;"Gaylord; Blanda and Stokes";Eagle;Vision
9;27-06-2022;130072.55;5478;;Hexi;Klein LLC;Ford;GT500
10;25-12-2022;265529.34;8304;;Polanka Wielka;"Purdy; Bruen and Wisoky";Chevrolet;Blazer
11;16-04-2022;893330.18;542;07;Amsterdam Westpoort;Aufderhar-Veum;GMC;Jimmy
12;16-02-2022;89250.61;5841;;Banjar Geriana Kangin;"Blanda; Leffler and Klein";Land Rover;Discovery
13;30-01-2022;522298.52;119;;Rutana;Collier and Sons;Jeep;Liberty
14;08-09-2022;118180.39;5902;16;Boucinha;"Gorczany; Cronin and Maggio";Mercury;Tracer
15;15-11-2022;994738.01;5618;;Nūsay;Murray-Altenwerth;Honda;CR-X
16;14-07-2022;273121.72;1465;;Batangafo;Bechtelar-Schuster;Audi;TT
17;26-11-2022;585778.97;234;;Isojoki;Friesen-Herzog;BMW;750
18;20-06-2022;195309.72;6843;;Paulínia;McDermott and Sons;Ford;Ranger
19;16-06-2022;332607.16;3231;;Yamango;Hyatt-Von;Oldsmobile;Cutlass
20;08-01-2022;895599.71;7373;A7;Rouen;"Wintheiser; Wolf and Marvin";Mazda;CX-7
21;01-07-2022;306685.51;7844;;Bella Vista;"Hudson; VonRueden and Grady";Dodge;Ram Van 1500
22;15-09-2022;706728.35;9192;;Pāshmūl;"Feil; Green and Feil";Nissan;Sentra
23;21-07-2022;299685.85;8821;;Jesús María;Heller Inc;Aston Martin;Vantage
24;26-12-2022;109444.63;2171;;Zhanjiang;"D'Amore; Haag and Gutmann";Acura;CL
25;18-04-2022;546885.84;4862;;Houping;Konopelski Group;Ford;E-Series
26;16-06-2022;53868.31;9402;;Itu;Stokes and Sons;BMW;M3
27;06-04-2022;181831.66;6504;06;Praia da Tocha;Vandervort Group;Hyundai;Elantra
28;29-06-2022;922121.06;6336;;Guicheng;Morissette-Bechtelar;Infiniti;G
29;07-11-2022;937625.06;4342;;Ardirejo;Von-Schiller;Audi;4000s Quattro
30;21-01-2022;641222.40;158;;Bernardo Larroudé;Bins-Blick;Ford;Expedition
31;22-03-2022;341563.45;5019;;Gersikputih Tengah;Ruecker-Zieme;Mitsubishi;Truck
32;26-04-2022;258760.06;6682;;Tuopu Luke;Little-Beer;Chevrolet;Corvette
33;09-08-2022;705373.53;7080;;Qaxa;Hessel-Rogahn;Ford;Fiesta
34;16-11-2022;132392.33;6624;;Tapiramutá;Herzog Group;BMW;5 Series
35;04-09-2022;196147.48;4804;B2;Saint-Dié-des-Vosges;Leannon Inc;Buick;Century
36;25-07-2022;143852.69;4087;;Olo;Tillman-Gleichner;Cadillac;Escalade
37;11-02-2022;100848.68;5616;;Libato;Dach-Vandervort;Volkswagen;Golf
38;31-01-2022;513835.81;6625;F;Nässjö;Gottlieb-Rice;Pontiac;Grand Prix
39;21-10-2022;952004.73;1540;;Taurage;"Beer; Weissnat and Bruen";Honda;Fit
40;30-06-2022;14526.38;5232;;Bor;Smitham LLC;Saturn;Aura
41;03-01-2022;917153.84;5992;;Donglu;Kihn-Ebert;GMC;Envoy
42;18-01-2022;742264.84;3987;S;Kristinehamn;Christiansen-Kihn;Honda;Civic
43;11-03-2022;356772.73;9237;;Ngou;"Stark; Jaskolski and Schroeder";Cadillac;Catera
44;25-12-2022;702555.71;3148;;Na Muen;Mann-Ruecker;GMC;Suburban 1500
45;13-01-2022;273079.17;5619;;Kajiki;Hoppe-Daugherty;Toyota;4Runner
46;01-02-2022;417242.54;9073;;Fermoy;Dickens and Sons;Chevrolet;SSR
47;25-05-2022;634384.84;2134;;Zhengmo;Kuhlman-Abshire;Lincoln;MKX
48;05-06-2022;398380.25;9363;M;Helsingborg;Bogisich-Thompson;Chevrolet;Express 2500
49;22-01-2022;714316.88;3157;;Benešov nad Černou;Zulauf and Sons;Ford;E150
50;30-12-2022;837141.17;2126;;Huangkeng;"Osinski; Kshlerin and Moore";Chevrolet;Blazer
