id_date;date;month;quarter;week;weekday;day
125;2022-05-10;5;2;19;1;10
220;2022-08-20;8;3;33;5;20
222;2022-08-22;8;3;34;0;22
29;2022-01-30;1;1;4;6;30
331;2022-12-20;12;4;51;1;20
12;2022-01-12;1;1;2;2;12
147;2022-06-03;6;2;22;4;3
304;2022-11-22;11;4;47;1;22
170;2022-06-27;6;2;26;0;27
336;2022-12-25;12;4;51;6;25
103;2022-04-16;4;2;15;5;16
46;2022-02-16;2;1;7;2;16
238;2022-09-08;9;3;36;3;8
298;2022-11-15;11;4;46;1;15
185;2022-07-14;7;3;28;3;14
308;2022-11-26;11;4;47;5;26
163;2022-06-20;6;2;25;0;20
159;2022-06-16;6;2;24;3;16
8;2022-01-08;1;1;1;5;8
174;2022-07-01;7;3;26;4;1
243;2022-09-15;9;3;37;3;15
192;2022-07-21;7;3;29;3;21
337;2022-12-26;12;4;52;0;26
105;2022-04-18;4;2;16;0;18
94;2022-04-06;4;2;14;2;6
172;2022-06-29;6;2;26;2;29
291;2022-11-07;11;4;45;0;7
20;2022-01-21;1;1;3;4;21
80;2022-03-22;3;1;12;1;22
113;2022-04-26;4;2;17;1;26
210;2022-08-09;8;3;32;1;9
299;2022-11-16;11;4;46;2;16
234;2022-09-04;9;3;35;6;4
196;2022-07-25;7;3;30;0;25
41;2022-02-11;2;1;6;4;11
30;2022-01-31;1;1;5;0;31
276;2022-10-21;10;4;42;4;21
173;2022-06-30;6;2;26;3;30
3;2022-01-03;1;1;1;0;3
17;2022-01-18;1;1;3;1;18
69;2022-03-11;3;1;10;4;11
13;2022-01-13;1;1;2;3;13
31;2022-02-01;2;1;5;1;1
138;2022-05-25;5;2;21;2;25
149;2022-06-05;6;2;22;6;5
21;2022-01-22;1;1;3;5;22
340;2022-12-30;12;4;52;4;30
184;2022-07-13;7;3;28;2;13
202;2022-07-31;7;3;30;6;31
169;2022-06-26;6;2;25;6;26
16;2022-01-17;1;1;3;0;17
272;2022-10-17;10;4;42;0;17
251;2022-09-24;9;3;38;5;24
216;2022-08-15;8;3;33;0;15
115;2022-04-28;4;2;17;3;28
205;2022-08-04;8;3;31;3;4
179;2022-07-06;7;3;27;2;6
83;2022-03-25;3;1;12;4;25
246;2022-09-18;9;3;37;6;18
4;2022-01-04;1;1;1;1;4
95;2022-04-07;4;2;14;3;7
130;2022-05-15;5;2;19;6;15
248;2022-09-20;9;3;38;1;20
182;2022-07-09;7;3;27;5;9
231;2022-08-31;8;3;35;2;31
109;2022-04-22;4;2;16;4;22
143;2022-05-30;5;2;22;0;30
35;2022-02-05;2;1;5;5;5
127;2022-05-12;5;2;19;3;12
318;2022-12-06;12;4;49;1;6
183;2022-07-11;7;3;28;0;11
204;2022-08-03;8;3;31;2;3
334;2022-12-23;12;4;51;4;23
209;2022-08-08;8;3;32;0;8
203;2022-08-01;8;3;31;0;1
14;2022-01-14;1;1;2;4;14
200;2022-07-29;7;3;30;4;29
199;2022-07-28;7;3;30;3;28
26;2022-01-27;1;1;4;3;27
224;2022-08-24;8;3;34;2;24
118;2022-05-01;5;2;17;6;1
297;2022-11-13;11;4;45;6;13
114;2022-04-27;4;2;17;2;27
121;2022-05-04;5;2;18;2;4
225;2022-08-25;8;3;34;3;25
332;2022-12-21;12;4;51;2;21
102;2022-04-15;4;2;15;4;15
19;2022-01-20;1;1;3;3;20
23;2022-01-24;1;1;4;0;24
278;2022-10-23;10;4;42;6;23
313;2022-12-01;12;4;48;3;1
84;2022-03-26;3;1;12;5;26
339;2022-12-29;12;4;52;3;29
87;2022-03-29;3;1;13;1;29
277;2022-10-22;10;4;42;5;22
256;2022-09-30;9;3;39;4;30
271;2022-10-16;10;4;41;6;16
132;2022-05-17;5;2;20;1;17
166;2022-06-23;6;2;25;3;23
295;2022-11-11;11;4;45;4;11
181;2022-07-08;7;3;27;4;8
136;2022-05-23;5;2;21;0;23
86;2022-03-28;3;1;13;0;28
120;2022-05-03;5;2;18;1;3
190;2022-07-19;7;3;29;1;19
