id_location;state;city;store
482;N/A;Kombësi;Lang-Von
900;N/A;Xiaoling;Lemke Group
670;N/A;Pateros;"Wisoky; Pouros and Kunde"
526;N/A;Limatambo;Rice-Corwin
57;15;Vila Ribeiro;Herman-Paucek
537;N/A;Longzhou;Thiel-Stokes
346;N/A;Garbolovo;Balistreri and Sons
343;N/A;Gagarawa;"Gaylord; Blanda and Stokes"
387;N/A;Hexi;Klein LLC
691;N/A;Polanka Wielka;"Purdy; Bruen and Wisoky"
27;07;Amsterdam Westpoort;Aufderhar-Veum
186;N/A;Banjar Geriana Kangin;"Blanda; Leffler and Klein"
737;N/A;Rutana;Collier and Sons
59;16;Boucinha;"Gorczany; Cronin and Maggio"
639;N/A;Nūsay;Murray-Altenwerth
193;N/A;Batangafo;Bechtelar-Schuster
417;N/A;Isojoki;Friesen-Herzog
671;N/A;Paulínia;McDermott and Sons
915;N/A;Yamango;Hyatt-Von
78;A7;Rouen;"Wintheiser; Wolf and Marvin"
203;N/A;Bella Vista;"Hudson; VonRueden and Grady"
703;N/A;Pāshmūl;"Feil; Green and Feil"
427;N/A;Jesús María;Heller Inc
938;N/A;Zhanjiang;"D'Amore; Haag and Gutmann"
392;N/A;Houping;Konopelski Group
418;N/A;Itu;Stokes and Sons
24;06;Praia da Tocha;Vandervort Group
368;N/A;Guicheng;Morissette-Bechtelar
166;N/A;Ardirejo;Von-Schiller
208;N/A;Bernardo Larroudé;Bins-Blick
351;N/A;Gersikputih Tengah;Ruecker-Zieme
857;N/A;Tuopu Luke;Little-Beer
705;N/A;Qaxa;Hessel-Rogahn
830;N/A;Tapiramutá;Herzog Group
98;B2;Saint-Dié-des-Vosges;Leannon Inc
645;N/A;Olo;Tillman-Gleichner
522;N/A;Libato;Dach-Vandervort
124;F;Nässjö;Gottlieb-Rice
832;N/A;Taurage;"Beer; Weissnat and Bruen"
222;N/A;Bor;Smitham LLC
317;N/A;Donglu;Kihn-Ebert
981;S;Kristinehamn;Christiansen-Kihn
619;N/A;Ngou;"Stark; Jaskolski and Schroeder"
608;N/A;Na Muen;Mann-Ruecker
442;N/A;Kajiki;Hoppe-Daugherty
337;N/A;Fermoy;Dickens and Sons
939;N/A;Zhengmo;Kuhlman-Abshire
132;M;Helsingborg;Bogisich-Thompson
205;N/A;Benešov nad Černou;Zulauf and Sons
396;N/A;Huangkeng;"Osinski; Kshlerin and Moore"
589;N/A;Mojorembun;Roob-Turner
